,FIPS,County,FIPSTATE,State,NERC,sector,Emp,POP,rho_eff_min,rho_eff_max,rho_eff_avg,burden_min,burden_max,burden_avg,tonCO2e_eff_min,tonCO2e_eff_max,tonCO2e_eff_avg,tonCO2e_eff_min_emp,burden_min_emp,tonCO2e_eff_max_emp,burden_max_emp,tonCO2e_eff_avg_emp,burden_avg_emp,tonCO2e_eff_min_log10,tonCO2e_eff_percapita_min,tonCO2e_eff_percapita_min_log10,lbCO2e_eff_percapita_min,lbCO2e_eff_percapita_min_log10,tonCO2e_eff_peremp_min,tonCO2e_eff_peremp_min_log10,burden_min_log10,burden_percapita_min,burden_percapita_min_log10,burden_peremp_min,burden_peremp_min_log10,tonCO2e_eff_max_log10,tonCO2e_eff_percapita_max,tonCO2e_eff_percapita_max_log10,lbCO2e_eff_percapita_max,lbCO2e_eff_percapita_max_log10,tonCO2e_eff_peremp_max,tonCO2e_eff_peremp_max_log10,burden_max_log10,burden_percapita_max,burden_percapita_max_log10,burden_peremp_max,burden_peremp_max_log10,tonCO2e_eff_avg_log10,tonCO2e_eff_percapita_avg,tonCO2e_eff_percapita_avg_log10,lbCO2e_eff_percapita_avg,lbCO2e_eff_percapita_avg_log10,tonCO2e_eff_peremp_avg,tonCO2e_eff_peremp_avg_log10,burden_avg_log10,burden_percapita_avg,burden_percapita_avg_log10,burden_peremp_avg,burden_peremp_avg_log10,tonneCO2e_eff_peremp_avg,tonneCO2e_eff_peremp_avg_log10,ECF_std_dev
0,01043,cullman,01,AL,SERC,coal,,83442.0,0.4722461665302715,0.7932013205112058,0.6327237435207387,1763355.9447171935,2961794.8498292463,2362575.39727322,8419.428982472662,14141.569927216227,11280.499454844445,0.0,0.0,0.0,0.0,0.0,0.0,3.925282638035218,0.10090157213960191,-0.9961020670015953,201.80314427920382,2.304927928662386,,,6.246339986277496,21.132714277188867,1.324955281240682,,,4.1504976253646975,0.16947784002320446,-0.7708870796721164,338.95568004640893,2.5301429159918647,,,6.471554973606975,35.495252388835915,1.5501702685701608,,,4.052328328874351,0.13518970608140318,-0.8690563761624626,270.3794121628064,2.4319736195015187,,,6.373385677116628,28.313983333012395,1.4520009720798148,,,,,
1,01049,dekalb,01,AL,SERC,coal,2.0,71385.0,0.021179610744750436,0.021179610744750436,0.021179610744750436,204302.84411001793,204302.84411001793,204302.84411001793,975.477068061463,975.477068061463,975.477068061463,975.477068061463,204302.84411001793,975.477068061463,204302.84411001793,975.477068061463,204302.84411001793,2.9892170642672586,0.013665014611773664,-1.86438989958718,27.330029223547328,1.4366400960768013,487.7385340307315,2.6881870686032774,5.310274412509536,2.861985628773803,0.4566674486550973,102151.42205500897,5.009244416845555,2.9892170642672586,0.013665014611773664,-1.86438989958718,27.330029223547328,1.4366400960768013,487.7385340307315,2.6881870686032774,5.310274412509536,2.861985628773803,0.4566674486550973,102151.42205500897,5.009244416845555,2.9892170642672586,0.013665014611773664,-1.86438989958718,27.330029223547328,1.4366400960768013,487.7385340307315,2.6881870686032774,5.310274412509536,2.861985628773803,0.4566674486550973,102151.42205500897,5.009244416845555,442.46893567310894,2.6458827856794396,-0.3650491172476517
2,01057,fayette,01,AL,SERC,coal,,16433.0,0.6592396957799178,0.8844451416482516,0.7718424187140848,4344695.562327895,5828903.973228674,5086799.767778286,20744.453691878134,27831.047495134262,24287.7505935062,0.0,0.0,0.0,0.0,0.0,0.0,4.316902002108987,1.2623655870430313,0.10118514685946262,2524.7311740860623,3.4022151425234437,,,6.637959350351263,264.38845994814676,2.42224249510174,,,4.444529552463955,1.6936072229741534,0.228812697214431,3387.214445948307,3.5298426928784123,,,6.765586900706232,354.70723381176134,2.549870045456708,,,4.385387294547232,1.4779864050085925,0.169670439297708,2955.972810017185,3.4707004349616892,,,6.706444642789509,309.5478468799541,2.4907277875399854,,,,,
3,01071,jackson,01,AL,SERC,coal,,51736.0,0.47224616653027146,0.793201320511206,0.6327237435207387,5290067.834151581,8885384.54948774,7087726.191819661,25258.286947417986,42424.709781648686,33841.498364533334,0.0,0.0,0.0,0.0,0.0,0.0,4.402403892754881,0.4882149170291091,-0.31138895518417953,976.4298340582181,2.9896410404798015,,,6.723461240997158,102.25119518616788,2.0096683930580976,,,4.62761888008436,0.82002299717119,-0.0861739678547006,1640.04599434238,3.214856027809281,,,6.948676228326637,171.74471450223712,2.2348833803875765,,,4.529449583594014,0.6541189571001494,-0.18434326434504678,1308.237914200299,3.1166867313189344,,,6.850506931836291,136.99795484420252,2.1367140838972305,,,,,
4,01073,jefferson,01,AL,SERC,coal,1467.0,659300.0,0.027387438602436913,0.029503563139479126,0.02844550087095802,124040506.98929282,133624651.17442457,128832579.0818587,592251.5205594224,638012.5715634706,615132.0460614465,592251.5205594224,124040506.98929282,638012.5715634706,133624651.17442457,615132.0460614465,128832579.0818587,5.772506184413324,0.8983035348997762,-0.04657689133037934,1796.6070697995524,3.254453104333602,403.71610126749994,2.6060760705700408,8.093563532655601,188.13970421552074,2.274480456911898,84553.85616175379,4.927133418812318,5.804829236255416,0.9677120757826038,-0.014253839488287082,1935.4241515652075,3.2867761561756943,434.90972840045714,2.638399122412133,8.125886584497692,202.67655266862516,2.30680350875399,91087.0151154905,4.95945647065441,5.788968352718958,0.93300780534119,-0.03011472302474453,1866.01561068238,3.2709152726392365,419.31291483397854,2.6225382388756753,8.110025700961236,195.40812844207295,2.2909426252175327,87820.43563862215,4.943595587117953,380.39426084978834,2.5802339559518375,-0.49305811313582226
5,01117,shelby,01,AL,SERC,coal,4.0,215707.0,0.4535313806435642,0.676573799930013,0.5650525902867886,3915289.191696101,5840791.1763279,4878040.184012001,18694.183323614194,27887.804874490368,23290.99409905228,18694.183323614194,3915289.191696101,27887.804874490368,5840791.1763279,23290.99409905228,4878040.184012001,4.271706497262637,0.08666470408291893,-1.0621577415443377,173.32940816583786,2.2388722541196433,4673.545830903548,3.6696465059346752,6.592763845504915,18.15096029195205,1.2588996066979394,978822.2979240252,5.990703854176952,4.445414331103104,0.12928558124905715,-0.888449907703872,258.5711624981143,2.412580087960109,6971.951218622592,3.843354339775141,6.766471679345381,27.07742992266315,1.4326074405384053,1460197.794081975,6.1644116880174185,4.367188025353883,0.10797514266598804,-0.9666762134530925,215.9502853319761,2.3343537822108886,5822.74852476307,3.7651280340259206,6.6882453735961604,22.614195107307605,1.354381134789185,1219510.0460030003,6.086185382268198,5282.308373612628,3.7228237511020827,1.7348836947553474
6,01125,tuscaloosa,01,AL,SERC,coal,488.0,208911.0,0.03070302680937559,0.036408176885005764,0.033555601847190676,39830531.41810629,47231728.72491412,43531130.0715102,190177.3329505946,225515.55000009126,207846.44147534293,190177.3329505946,39830531.41810629,225515.55000009126,47231728.72491412,207846.44147534293,43531130.0715102,5.2791587525534815,0.910327043337089,-0.040802555370955396,1820.654086674178,3.2602274402930256,389.7076494889234,2.5907389305507706,7.600216100795759,190.65789459677225,2.2802547928713217,81619.94143054567,4.911796278793048,5.353176493204658,1.0794814538252713,0.03321518528022142,2158.9629076505425,3.3342451809442024,462.12202868871157,2.6647566712019475,7.674233841446935,226.08540825956564,2.354272533522499,96786.3293543322,4.985814019444224,5.317742593379871,0.9949042485811802,-0.002218714544565109,1989.8084971623605,3.298811281119416,425.9148390888175,2.629322771377161,7.638799941622149,208.37165142816895,2.318838633697712,89203.13539243894,4.950380119619438,386.38342552433716,2.587018488453323,-0.4798289177839867
7,01127,walker,01,AL,SERC,coal,474.0,63711.0,0.04687186827088583,0.06459550515736462,0.05573368671412523,39517881.8467935,54460759.40242082,46989320.62460716,188684.53685916757,260031.72955177297,224358.13320547028,188684.53685916757,39517881.8467935,260031.72955177297,54460759.40242082,224358.13320547028,46989320.62460716,5.275736310170725,2.9615692244536667,0.47152188840255005,5923.138448907333,3.772551884066531,398.06864316280075,2.59995796849664,7.596793658413002,620.2678006434289,2.792579236644827,83371.0587485095,4.9210153167389175,5.4150263446188385,4.0814259633622605,0.6108119228506639,8162.851926724521,3.911841918514645,548.5901467336982,2.7392480029447537,7.736083692861116,854.8093641980321,2.9318692710929413,114896.11688274435,5.060305351187031,5.3509418177613695,3.521497593907964,0.5467273959931942,7042.995187815927,3.8477573916571752,473.32939494824956,2.675163476087284,7.671999166003647,737.5385824207304,2.8677847442354714,99133.58781562692,4.996220824329561,429.39718515730925,2.6328591931634464,-0.39044388830063864
8,02068,denali,02,AK,ASCC,coal,102.0,2059.0,0.026549104364809478,0.030323414543490603,0.02843625945415004,8841709.41433731,10098676.63179672,9470193.023067014,42216.17576456575,48217.76963017242,45216.972697369085,42216.17576456575,8841709.41433731,48217.76963017242,10098676.63179672,45216.972697369085,9470193.023067014,4.625478889332373,20.50324223631168,1.3118225427143417,41006.484472623364,4.6128525383783225,413.8840761231936,2.6168787175704553,6.946536237574651,4294.176500406658,3.632879890956619,86683.42563075793,4.937936065812733,4.683207117702341,23.418052273031773,1.3695507710843096,46836.10454606354,4.670580766748291,472.7232316683571,2.6746069459404236,7.004264465944618,4904.651108206274,3.690608119326587,99006.63364506587,4.995664294182701,4.655301482714383,21.960647254671727,1.3416451360963515,43921.294509343454,4.642675131760333,443.30365389577537,2.6467013109524653,6.97635883095666,4599.413804306467,3.6627024843386287,92845.02963791191,4.967758659194742,402.1582922683428,2.6043970280286275,-0.4459424127195681
9,04005,coconino,04,AZ,WECC,coal,,142854.0,0.6618368415724488,0.8852346107046706,0.7735357261385596,2491366.9025032106,3332308.0123796775,2911837.4574414436,11895.435387137779,15910.645120747282,13903.040253942529,0.0,0.0,0.0,0.0,0.0,0.0,4.075380342360758,0.08326987964731669,-1.079512063041282,166.53975929463337,2.221517932622699,,,6.396437690603036,17.439951996466398,1.2415452852009952,,,4.201687789118651,0.11137696613848602,-0.9532046162833894,222.75393227697205,2.3478253793805917,,,6.522745137360928,23.326669273381757,1.3678527319588878,,,4.14310978019183,0.09732342289290134,-1.01178262521021,194.6468457858027,2.2892473704537712,,,6.464167128434108,20.383310634924072,1.3092747230320672,,,,,
